Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-27.666666	29.397657	-1.0	-115.0	29.666666	-0.020762116	0.020544626	0.023820724	-0.081317	500	-2.193451e-08	823.09186	-0.07417589	-815.5616	1.3873668	0.017682629	0.166	19.0	15.677999496459961
1	-21.809525	18.321516	-1.0	-67.0	23.809525	-6.814623	5.4995837	-0.5759045	-25.556242	1000	3.3378602e-09	258.68103	-0.11180435	-257.7977	1.3832152	0.018681632	0.336	20.0	29.92099905014038
2	-23.11111	21.801857	-1.0	-89.0	25.11111	-8.5294695	7.0718884	-0.6604292	-39.063198	1500	9.298325e-09	365.26514	-0.11714207	-363.90546	1.382967	0.017408779	0.472	18.0	44.35100054740906
3	-18.75	18.173355	-1.0	-76.0	20.75	-13.034334	8.628216	-0.4485467	-42.69421	2000	-1.4305115e-09	254.07787	-0.09564244	-253.41615	1.3832741	0.019349214	0.324	9.0	58.3659987449646
4	-22.15	17.66996	0.0	-63.0	24.15	-11.339258	9.326848	-0.6309774	-35.125633	2500	-2.8967857e-08	233.96033	-0.06535056	-231.9063	1.3691671	0.018649843	0.17	6.0	70.59499764442444
5	-38.25	30.876434	-1.0	-98.0	40.25	-11.579225	7.918818	-1.2479805	-40.547363	3000	-6.437302e-08	510.6217	-0.09031729	-508.6168	1.3636943	0.018505134	0.312	8.0	83.95599842071533
6	-26.82353	33.517746	0.0	-104.0	28.82353	-13.091	8.880272	-1.1625017	-45.775402	3500	8.5830685e-09	615.4737	-0.10936165	-612.82166	1.3389199	0.019193893	0.384	11.0	96.73600339889526
7	-34.076923	29.952427	-4.0	-112.0	36.076923	-16.435707	11.876322	-1.4539741	-60.99474	4000	-1.5974045e-08	450.41104	-0.09340697	-449.55737	1.362356	0.021027163	0.422	8.0	108.9379985332489
8	-13.038462	24.227259	87.0	-52.0	18.923077	-13.86174	8.544671	-1.5437709	-58.658337	4500	1.5735626e-08	379.43082	-0.059575982	-366.70126	1.3827587	0.025982747	0.202	4.0	120.19499969482422
9	-22.5	19.187235	-1.0	-64.0	24.5	-7.5861073	7.4117985	25.63201	-29.307253	5000	-1.07288365e-08	282.1712	-0.07210485	-281.4203	1.3510033	0.023892494	0.232	4.0	131.23699426651
10	-19.545454	15.239682	-1.0	-51.0	21.545454	-10.961388	5.8449335	0.4233127	-27.76948	5500	1.37388705e-08	137.96768	-0.08946344	-137.33685	1.3206375	0.017995484	0.404	7.0	144.33000540733337
11	-14.73913	29.711977	49.0	-130.0	21.130434	-10.0590725	6.5113864	37.825966	-29.16575	6000	-1.4305115e-09	1015.6333	-0.055948406	-1011.63995	1.3439722	0.02731143	0.178	4.0	156.30400109291077
12	-30.2	24.798386	-2.0	-95.0	32.2	-8.769274	11.652345	40.179577	-57.031494	6500	3.71933e-08	459.5496	-0.095051356	-458.50107	1.3208549	0.022344466	0.414	8.0	168.6159999370575
13	-12.935484	11.410057	-1.0	-43.0	14.935484	-13.743516	8.907011	7.5498757	-48.523285	7000	-1.3351441e-08	180.23723	-0.07518282	-179.57275	1.2891526	0.026587136	0.256	5.0	181.17399621009827
14	-10.863636	35.33257	85.0	-93.0	22.045454	-9.488828	5.211397	-0.5009901	-27.52076	7500	2.1159648e-08	723.4364	-0.05207754	-718.50085	1.284539	0.025465064	0.18	4.0	193.80699920654297
15	-25.666666	22.764496	-1.0	-95.0	27.666666	-9.259555	9.998555	51.233257	-30.204391	8000	-7.629395e-09	378.38568	-0.09155638	-376.7075	1.2913519	0.017360395	0.384	7.0	206.86299586296082
16	-49.11111	52.4435	-1.0	-182.0	51.11111	-13.129361	7.940297	11.324998	-44.763077	8500	-5.5789947e-08	999.612	-0.09329154	-997.15765	1.3263257	0.02241806	0.396	7.0	219.93199968338013
17	-20.238094	18.023542	0.0	-78.0	22.238094	-24.569178	13.913887	3.5628057	-67.71635	9000	-7.867813e-09	298.7923	-0.08149965	-297.1529	1.3094403	0.022351984	0.316	6.0	233.64500069618225
18	-29.6	26.590223	-4.0	-105.0	31.6	-16.707668	9.902417	-2.232998	-44.10238	9500	1.0490417e-08	310.95154	-0.084506296	-308.7696	1.3296556	0.024115471	0.27	5.0	245.11100006103516
19	-22.9	23.099566	-1.0	-92.0	24.9	-16.258482	8.770102	3.371626	-50.628067	10000	-9.536743e-09	374.67096	-0.08196349	-373.0238	1.2671355	0.028267238	0.272	5.0	260.0119962692261
